family_code,from_pokedex_number,from_form_code,from_card_state,to_pokedex_number,to_form_code,to_card_state,rule_type,notes
"abra",63,"NORMAL","NORMAL",63,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"abra",63,"NORMAL","NORMAL",63,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"abra",63,"NORMAL","NORMAL",63,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"abra",63,"NORMAL","NORMAL",63,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"abra",63,"NORMAL","NORMAL",64,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"abra",63,"NORMAL","V",63,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"abra",63,"NORMAL","V",63,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"abra",64,"NORMAL","NORMAL",64,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"abra",64,"NORMAL","NORMAL",64,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"abra",64,"NORMAL","NORMAL",64,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"abra",64,"NORMAL","NORMAL",64,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"abra",64,"NORMAL","NORMAL",65,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"abra",64,"NORMAL","V",64,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"abra",64,"NORMAL","V",64,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"abra",65,"NORMAL","NORMAL",65,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"abra",65,"NORMAL","NORMAL",65,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"abra",65,"NORMAL","NORMAL",65,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"abra",65,"NORMAL","NORMAL",65,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"abra",65,"NORMAL","V",65,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"abra",65,"NORMAL","V",65,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"absol",359,"NORMAL","NORMAL",359,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"absol",359,"NORMAL","NORMAL",359,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"absol",359,"NORMAL","NORMAL",359,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"absol",359,"NORMAL","NORMAL",359,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"absol",359,"NORMAL","V",359,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"absol",359,"NORMAL","V",359,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aerodactyl",142,"NORMAL","NORMAL",142,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aerodactyl",142,"NORMAL","NORMAL",142,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aerodactyl",142,"NORMAL","NORMAL",142,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"aerodactyl",142,"NORMAL","NORMAL",142,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aerodactyl",142,"NORMAL","V",142,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aerodactyl",142,"NORMAL","V",142,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aipom",190,"NORMAL","NORMAL",190,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aipom",190,"NORMAL","NORMAL",190,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aipom",190,"NORMAL","NORMAL",190,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
"aipom",190,"NORMAL","NORMAL",190,"NORMAL","MEGA","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state MEGA"
"aipom",190,"NORMAL","NORMAL",424,"NORMAL","NORMAL","STANDARD","Standard evolution from species tree"
"aipom",190,"NORMAL","V",190,"NORMAL","VMAX","SPECIAL_CHAIN","House rule: V can continue into same-species state VMAX"
"aipom",190,"NORMAL","V",190,"NORMAL","VSTAR","SPECIAL_CHAIN","House rule: V can continue into same-species state VSTAR"
"aipom",424,"NORMAL","NORMAL",424,"NORMAL","EX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state EX"
"aipom",424,"NORMAL","NORMAL",424,"NORMAL","GX","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state GX"
"aipom",424,"NORMAL","NORMAL",424,"NORMAL","V","SPECIAL_BRANCH","House rule: NORMAL can branch into same-species special state V"
