family_code,pokedex_number,form_code,pokemon_name,pokemon_name_pl,evolution_tier,normal_stage,is_baby,evolves_from_pokedex_number,evolves_from_form_code,branch_order,notes
"abra",63,"NORMAL","Abra",,0,"BASIC",false,,,0,""
"abra",64,"NORMAL","Kadabra",,1,"STAGE1",false,63,"NORMAL",0,""
"abra",65,"NORMAL","Alakazam",,2,"STAGE2",false,64,"NORMAL",0,""
"absol",359,"NORMAL","Absol",,0,"BASIC",false,,,0,""
"aerodactyl",142,"NORMAL","Aerodactyl",,0,"BASIC",false,,,0,""
"aipom",190,"NORMAL","Aipom",,0,"BASIC",false,,,0,""
"aipom",424,"NORMAL","Ambipom",,1,"STAGE1",false,190,"NORMAL",0,""
"alomomola",594,"NORMAL","Alomomola",,0,"BASIC",false,,,0,""
"amaura",698,"NORMAL","Amaura",,0,"BASIC",false,,,0,""
"amaura",699,"NORMAL","Aurorus",,1,"STAGE1",false,698,"NORMAL",0,""
"anorith",347,"NORMAL","Anorith",,0,"BASIC",false,,,0,""
"anorith",348,"NORMAL","Armaldo",,1,"STAGE1",false,347,"NORMAL",0,""
"applin",840,"NORMAL","Applin",,0,"BASIC",false,,,0,""
"applin",841,"NORMAL","Flapple",,1,"STAGE1",false,840,"NORMAL",0,""
"applin",842,"NORMAL","Appletun",,1,"STAGE1",false,840,"NORMAL",1,""
"applin",1011,"NORMAL","Dipplin",,1,"STAGE1",false,840,"NORMAL",2,""
"applin",1019,"NORMAL","Hydrapple",,2,"STAGE2",false,1011,"NORMAL",0,""
"arceus",493,"NORMAL","Arceus",,0,"BASIC",false,,,0,""
"archen",566,"NORMAL","Archen",,0,"BASIC",false,,,0,""
"archen",567,"NORMAL","Archeops",,1,"STAGE1",false,566,"NORMAL",0,""
"arctovish",883,"NORMAL","Arctovish",,0,"BASIC",false,,,0,""
"arctozolt",881,"NORMAL","Arctozolt",,0,"BASIC",false,,,0,""
"aron",304,"NORMAL","Aron",,0,"BASIC",false,,,0,""
"aron",305,"NORMAL","Lairon",,1,"STAGE1",false,304,"NORMAL",0,""
"aron",306,"NORMAL","Aggron",,2,"STAGE2",false,305,"NORMAL",0,""
"arrokuda",846,"NORMAL","Arrokuda",,0,"BASIC",false,,,0,""
"arrokuda",847,"NORMAL","Barraskewda",,1,"STAGE1",false,846,"NORMAL",0,""
"articuno",144,"NORMAL","Articuno",,0,"BASIC",false,,,0,""
"audino",531,"NORMAL","Audino",,0,"BASIC",false,,,0,""
"axew",610,"NORMAL","Axew",,0,"BASIC",false,,,0,""
"axew",611,"NORMAL","Fraxure",,1,"STAGE1",false,610,"NORMAL",0,""
"axew",612,"NORMAL","Haxorus",,2,"STAGE2",false,611,"NORMAL",0,""
"azelf",482,"NORMAL","Azelf",,0,"BASIC",false,,,0,""
"azurill",298,"NORMAL","Azurill",,0,"BASIC",true,,,0,""
"azurill",183,"NORMAL","Marill",,1,"STAGE1",false,298,"NORMAL",0,""
"azurill",184,"NORMAL","Azumarill",,2,"STAGE2",false,183,"NORMAL",0,""
"bagon",371,"NORMAL","Bagon",,0,"BASIC",false,,,0,""
"bagon",372,"NORMAL","Shelgon",,1,"STAGE1",false,371,"NORMAL",0,""
"bagon",373,"NORMAL","Salamence",,2,"STAGE2",false,372,"NORMAL",0,""
"baltoy",343,"NORMAL","Baltoy",,0,"BASIC",false,,,0,""
"baltoy",344,"NORMAL","Claydol",,1,"STAGE1",false,343,"NORMAL",0,""
"barboach",339,"NORMAL","Barboach",,0,"BASIC",false,,,0,""
"barboach",340,"NORMAL","Whiscash",,1,"STAGE1",false,339,"NORMAL",0,""
"basculin",550,"NORMAL","Basculin",,0,"BASIC",false,,,0,""
"basculin",902,"NORMAL","Basculegion",,1,"STAGE1",false,550,"NORMAL",0,""
"beldum",374,"NORMAL","Beldum",,0,"BASIC",false,,,0,""
"beldum",375,"NORMAL","Metang",,1,"STAGE1",false,374,"NORMAL",0,""
"beldum",376,"NORMAL","Metagross",,2,"STAGE2",false,375,"NORMAL",0,""
"bellsprout",69,"NORMAL","Bellsprout",,0,"BASIC",false,,,0,""
"bellsprout",70,"NORMAL","Weepinbell",,1,"STAGE1",false,69,"NORMAL",0,""
"bellsprout",71,"NORMAL","Victreebel",,2,"STAGE2",false,70,"NORMAL",0,""
"bergmite",712,"NORMAL","Bergmite",,0,"BASIC",false,,,0,""
"bergmite",713,"NORMAL","Avalugg",,1,"STAGE1",false,712,"NORMAL",0,""
"bidoof",399,"NORMAL","Bidoof",,0,"BASIC",false,,,0,""
"bidoof",400,"NORMAL","Bibarel",,1,"STAGE1",false,399,"NORMAL",0,""
"binacle",688,"NORMAL","Binacle",,0,"BASIC",false,,,0,""
"binacle",689,"NORMAL","Barbaracle",,1,"STAGE1",false,688,"NORMAL",0,""
"blacephalon",806,"NORMAL","Blacephalon",,0,"BASIC",false,,,0,""
"blipbug",824,"NORMAL","Blipbug",,0,"BASIC",false,,,0,""
"blipbug",825,"NORMAL","Dottler",,1,"STAGE1",false,824,"NORMAL",0,""
"blipbug",826,"NORMAL","Orbeetle",,2,"STAGE2",false,825,"NORMAL",0,""
"blitzle",522,"NORMAL","Blitzle",,0,"BASIC",false,,,0,""
"blitzle",523,"NORMAL","Zebstrika",,1,"STAGE1",false,522,"NORMAL",0,""
"bombirdier",962,"NORMAL","Bombirdier",,0,"BASIC",false,,,0,""
"bonsly",438,"NORMAL","Bonsly",,0,"BASIC",true,,,0,""
"bonsly",185,"NORMAL","Sudowoodo",,1,"STAGE1",false,438,"NORMAL",0,""
"bouffalant",626,"NORMAL","Bouffalant",,0,"BASIC",false,,,0,""
"bounsweet",761,"NORMAL","Bounsweet",,0,"BASIC",false,,,0,""
"bounsweet",762,"NORMAL","Steenee",,1,"STAGE1",false,761,"NORMAL",0,""
"bounsweet",763,"NORMAL","Tsareena",,2,"STAGE2",false,762,"NORMAL",0,""
"bramblin",946,"NORMAL","Bramblin",,0,"BASIC",false,,,0,""
"bramblin",947,"NORMAL","Brambleghast",,1,"STAGE1",false,946,"NORMAL",0,""
"bronzor",436,"NORMAL","Bronzor",,0,"BASIC",false,,,0,""
"bronzor",437,"NORMAL","Bronzong",,1,"STAGE1",false,436,"NORMAL",0,""
"brute-bonnet",986,"NORMAL","Brute Bonnet",,0,"BASIC",false,,,0,""
"bruxish",779,"NORMAL","Bruxish",,0,"BASIC",false,,,0,""
"budew",406,"NORMAL","Budew",,0,"BASIC",true,,,0,""
